#iteration,Porcupine Basin,Rockall Plateau area A,Rockall Plateau area B,Rockall Plateau area C,Rockall Plateau area D,Northeast Greenland basin,Voring / More basin,Faroe-Shetland basin,Total
1,170.9082432,396.6661787,1077.399334,3439.91769,91.87073991,1228.758238,2863.132347,968.7997078,10237.45248
2,213.965546,303.8081776,547.1368814,2114.22871,149.5064481,1307.823301,2990.369477,962.4540745,8589.292616
3,211.4884161,232.0587109,495.1915065,1779.538486,66.28859488,457.2300453,2830.10194,843.7944557,6915.692155
4,307.9203478,270.0594178,447.0319953,3251.480374,81.44842754,1127.933516,2839.986697,1079.555393,9405.416168
5,305.5108741,377.0043835,461.1695009,1769.681891,61.80786864,496.7703758,3780.603519,960.1208516,8212.669265
6,270.1263247,263.6946218,415.3041781,2561.342842,81.64748567,1078.633105,3184.173399,1007.560771,8862.482727
7,154.8433134,410.7161914,341.4520871,1571.001461,81.11603797,486.11559,5068.78363,1589.694765,9703.723076
8,339.5633746,273.4082115,320.2989537,2649.337853,133.5192137,1148.927625,2293.578503,976.6573741,8135.291109
9,301.4358532,216.0488765,388.8302392,1467.507722,75.3714517,1123.123313,2216.134018,927.1333886,6715.584862
10,288.8561188,222.7138878,361.3663101,2411.820015,68.79422772,1006.257118,1130.59957,826.0399062,6316.447154
11,199.5042758,636.7541086,1019.06021,2232.367599,115.7873028,805.1888223,2296.442484,986.2916467,8291.396449
12,247.0668599,210.3677115,574.1600123,2129.702053,64.97430999,567.5230011,5412.155967,1879.044177,11084.99409
13,238.5275802,184.1309306,380.2035065,2468.267451,73.30715086,1182.337612,3805.994974,987.0165845,9319.78579
14,168.1658206,210.4052408,357.7482773,3958.062863,98.64823068,1130.143442,3770.048661,1170.052175,10863.27471
15,334.138201,279.308368,645.6524625,3971.347703,102.0562415,821.1899967,2445.574847,774.0041858,9373.272006
16,215.5764508,218.6107688,663.3475174,2544.233035,90.16520281,1184.597587,3879.011558,974.6214852,9770.163605
17,193.6666247,230.9938316,329.4906845,1810.417122,147.3158311,1319.15033,2014.972942,895.8295502,6941.836916
18,236.9488641,470.3750316,403.2274181,3475.400882,81.70037132,884.7365488,2928.317316,762.4725196,9243.178952
19,256.605414,340.0410109,576.4125344,2230.298204,69.87319068,1080.350612,2315.828889,902.4021598,7771.812015
20,217.6194744,226.9543144,478.8502494,1585.454481,73.53196869,782.985444,2368.479443,635.9723357,6369.847711
21,424.8319762,301.3585813,475.0022652,2708.53054,93.50336308,772.0564086,1631.64726,759.6422281,7166.572622
22,277.5964443,410.4817953,442.2998889,1988.696511,88.93115669,862.6641181,3609.762463,1111.744013,8792.17639
23,225.7740451,210.8744726,366.4081018,2970.727802,92.08579759,879.7816435,1606.555866,920.3892491,7272.596978
24,337.462854,371.2296158,469.7985148,1706.716388,136.0754734,602.3470158,2861.433185,703.5870524,7188.650099
25,255.7045988,280.1551405,400.0222683,2627.016357,91.4467171,995.2732571,2099.495959,618.8194368,7367.933735
26,150.3177185,177.45261,476.4222099,1869.107201,88.78051965,1139.353521,2253.465746,994.1100704,7149.009596
27,261.4953833,324.359248,555.6121974,2847.32022,55.48579429,339.9240519,3950.905532,931.6730008,9266.775428
28,366.6469663,221.0097616,398.2401415,2282.048069,71.51560043,884.7361918,3790.025238,888.1375131,8902.359482
29,354.4312682,281.4487764,560.9268349,1483.192797,61.6384786,1141.375555,2371.166675,802.4103195,7056.590705
30,229.6769516,278.9424661,568.1388683,2906.183966,69.1670601,1118.278182,2728.871641,656.8216438,8556.080779
31,180.5433158,263.9084085,349.4971035,2208.446675,118.2231986,1294.501162,2758.820647,679.8564773,7853.796988
32,197.8480733,397.1552323,470.3084853,2771.778058,61.22253576,1110.651961,2437.796153,959.3410709,8406.10157
33,209.7405599,191.9399875,589.2606652,1854.495564,252.6958529,1134.052072,2156.341777,753.4490545,7141.975533
34,231.9984681,299.6373784,377.3868964,5477.196349,79.87964387,680.0791321,1464.354949,680.2450863,9290.777903
35,270.8854922,317.253915,644.0027634,1974.240197,128.932688,1503.829293,1429.351642,684.9309294,6953.42692
